,Month,WeekOfMonth,DayOfWeek,Make,AccidentArea,DayOfWeekClaimed,MonthClaimed,WeekOfMonthClaimed,Sex,MaritalStatus,Age,Fault,VehicleCategory,VehiclePrice,FraudFound_P,RepNumber,Deductible,DriverRating,Days_Policy_Accident,Days_Policy_Claim,PastNumberOfClaims,AgeOfVehicle,AgeOfPolicyHolder,PoliceReportFiled,WitnessPresent,AgentType,NumberOfSuppliments,AddressChange_Claim,NumberOfCars,Year,BasePolicy
0,Dec,5,Wednesday,Honda,Urban,Tuesday,Jan,1,Female,Single,21.0,Policy Holder,Sport,more than 69000,0,12,300,1,more than 30,more than 30,none,3 years,26 to 30,No,No,External,none,1 year,3 to 4,1994,Liability
1,Jan,3,Wednesday,Honda,Urban,Monday,Jan,4,Male,Single,34.0,Policy Holder,Sport,more than 69000,0,15,400,4,more than 30,more than 30,none,6 years,31 to 35,Yes,No,External,none,no change,1 vehicle,1994,Collision
2,Oct,5,Friday,Honda,Urban,Thursday,Nov,2,Male,Married,47.0,Policy Holder,Sport,more than 69000,0,7,400,3,more than 30,more than 30,1,7 years,41 to 50,No,No,External,none,no change,1 vehicle,1994,Collision
3,Jun,2,Saturday,Toyota,Rural,Friday,Jul,1,Male,Married,65.0,Third Party,Sport,20000 to 29000,0,4,400,2,more than 30,more than 30,1,more than 7,51 to 65,Yes,No,External,more than 5,no change,1 vehicle,1994,Liability
4,Jan,5,Monday,Honda,Urban,Tuesday,Feb,2,Female,Single,27.0,Third Party,Sport,more than 69000,0,3,400,1,more than 30,more than 30,none,5 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,Collision
5,Oct,4,Friday,Honda,Urban,Wednesday,Nov,1,Male,Single,20.0,Third Party,Sport,more than 69000,0,12,400,3,more than 30,more than 30,none,5 years,21 to 25,No,No,External,3 to 5,no change,1 vehicle,1994,Collision
6,Feb,1,Saturday,Honda,Urban,Monday,Feb,3,Male,Married,36.0,Third Party,Sport,more than 69000,0,14,400,1,more than 30,more than 30,1,7 years,36 to 40,No,No,External,1 to 2,no change,1 vehicle,1994,Collision
7,Nov,1,Friday,Honda,Urban,Tuesday,Mar,4,Male,Single,45.0,Policy Holder,Sport,more than 69000,0,1,400,4,more than 30,more than 30,1,new,16 to 17,No,No,External,none,no change,1 vehicle,1994,Collision
8,Dec,4,Saturday,Honda,Urban,Wednesday,Dec,5,Male,Single,30.0,Policy Holder,Sport,more than 69000,0,7,400,4,more than 30,more than 30,none,6 years,31 to 35,No,Yes,External,3 to 5,no change,1 vehicle,1994,Collision
9,Apr,3,Tuesday,Ford,Urban,Wednesday,Apr,3,Male,Married,42.0,Policy Holder,Utility,more than 69000,0,7,400,1,more than 30,more than 30,2 to 4,more than 7,36 to 40,No,No,External,3 to 5,no change,1 vehicle,1994,All Perils
10,Mar,2,Sunday,Mazda,Urban,Wednesday,Mar,3,Male,Single,71.0,Policy Holder,Sedan,more than 69000,0,7,400,3,more than 30,more than 30,none,more than 7,over 65,No,No,External,none,no change,1 vehicle,1994,All Perils
11,Mar,5,Monday,Honda,Urban,Monday,Mar,5,Male,Married,52.0,Policy Holder,Sport,20000 to 29000,0,13,400,1,more than 30,more than 30,2 to 4,more than 7,41 to 50,No,No,External,none,no change,1 vehicle,1994,Liability
12,Jan,3,Friday,Ford,Urban,Friday,Jan,3,Male,Married,28.0,Policy Holder,Sport,more than 69000,0,11,400,1,more than 30,more than 30,1,7 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,Liability
13,Jan,5,Friday,Honda,Rural,Wednesday,Feb,1,Male,Single,43.0,Third Party,Sedan,more than 69000,0,12,400,3,more than 30,more than 30,none,new,16 to 17,No,No,External,none,no change,1 vehicle,1994,Collision
14,Jan,5,Monday,Ford,Urban,Thursday,Feb,1,Male,Married,61.0,Policy Holder,Sport,more than 69000,0,3,400,1,more than 30,more than 30,none,more than 7,51 to 65,No,No,External,none,no change,1 vehicle,1994,Liability
15,Aug,4,Tuesday,Ford,Urban,Monday,Aug,5,Male,Single,38.0,Policy Holder,Sport,more than 69000,0,16,400,1,more than 30,more than 30,none,6 years,36 to 40,No,No,External,none,no change,1 vehicle,1994,Liability
16,Apr,4,Thursday,Ford,Urban,Wednesday,May,1,Male,Married,41.0,Policy Holder,Sedan,more than 69000,0,15,400,4,more than 30,more than 30,none,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1994,All Perils
17,Jul,5,Sunday,Chevrolet,Urban,Wednesday,Aug,1,Female,Married,28.0,Third Party,Sedan,20000 to 29000,0,6,400,1,more than 30,more than 30,none,7 years,31 to 35,No,No,External,1 to 2,no change,1 vehicle,1994,Collision
18,May,4,Thursday,Pontiac,Urban,Monday,May,5,Male,Single,32.0,Policy Holder,Sport,20000 to 29000,0,6,400,1,more than 30,more than 30,1,7 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,Liability
19,Apr,4,Monday,Honda,Urban,Tuesday,May,1,Male,Married,30.0,Third Party,Sport,more than 69000,0,2,400,2,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1994,Liability
20,Apr,2,Friday,Mazda,Urban,Tuesday,May,1,Male,Married,40.0,Policy Holder,Sport,20000 to 29000,0,3,400,1,more than 30,more than 30,1,more than 7,36 to 40,No,No,External,more than 5,no change,1 vehicle,1994,Liability
21,Jan,2,Saturday,Chevrolet,Urban,Monday,Jan,2,Male,Married,47.0,Policy Holder,Sedan,20000 to 29000,0,13,400,2,more than 30,more than 30,1,more than 7,41 to 50,No,No,External,none,4 to 8 years,2 vehicles,1994,Collision
22,Aug,3,Sunday,Mazda,Urban,Thursday,Aug,5,Male,Married,63.0,Policy Holder,Sport,20000 to 29000,0,8,400,3,more than 30,more than 30,1,more than 7,51 to 65,No,No,External,1 to 2,no change,1 vehicle,1994,Liability
23,Jun,3,Saturday,Pontiac,Urban,Tuesday,Jun,3,Male,Single,31.0,Third Party,Sport,30000 to 39000,0,5,400,3,more than 30,more than 30,none,6 years,31 to 35,No,No,External,3 to 5,no change,1 vehicle,1994,Liability
24,Sep,3,Friday,Mazda,Urban,Friday,Sep,3,Male,Married,45.0,Policy Holder,Sedan,more than 69000,0,12,400,3,more than 30,more than 30,more than 4,more than 7,36 to 40,Yes,No,External,none,no change,1 vehicle,1994,All Perils
25,Mar,3,Monday,Pontiac,Urban,Tuesday,Apr,1,Male,Married,60.0,Policy Holder,Sport,20000 to 29000,0,16,400,4,more than 30,more than 30,more than 4,more than 7,51 to 65,No,No,External,none,no change,1 vehicle,1994,Liability
26,Mar,3,Thursday,Honda,Urban,Thursday,Jun,4,Male,Married,21.0,Policy Holder,Sedan,30000 to 39000,0,1,400,2,more than 30,more than 30,more than 4,5 years,26 to 30,No,No,External,more than 5,no change,1 vehicle,1994,Collision
27,May,3,Sunday,Accura,Urban,Friday,May,4,Male,Married,42.0,Policy Holder,Sedan,30000 to 39000,0,1,400,3,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,1 to 2,no change,1 vehicle,1994,All Perils
28,Jul,1,Saturday,Honda,Urban,Tuesday,Sep,4,Male,Single,41.0,Policy Holder,Sedan,more than 69000,1,9,400,1,more than 30,more than 30,none,new,16 to 17,No,No,External,none,no change,1 vehicle,1994,All Perils
29,May,3,Monday,Mazda,Urban,Wednesday,May,4,Female,Married,39.0,Policy Holder,Sedan,20000 to 29000,0,12,400,3,more than 30,more than 30,none,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1994,Collision
30,Mar,2,Friday,Dodge,Urban,Saturday,Mar,2,Male,Married,47.0,Policy Holder,Sedan,30000 to 39000,0,2,400,1,more than 30,more than 30,2 to 4,more than 7,41 to 50,No,No,Internal,none,no change,1 vehicle,1994,Collision
31,Mar,1,Sunday,Honda,Urban,Tuesday,Mar,2,Male,Single,41.0,Policy Holder,Sedan,more than 69000,0,6,400,1,more than 30,more than 30,1,new,16 to 17,No,No,External,none,no change,1 vehicle,1994,Collision
32,Mar,2,Wednesday,Chevrolet,Urban,Wednesday,Mar,2,Male,Single,42.0,Policy Holder,Sedan,20000 to 29000,0,2,400,3,more than 30,more than 30,more than 4,7 years,36 to 40,No,No,External,3 to 5,no change,1 vehicle,1994,Collision
33,Jan,4,Monday,Honda,Urban,Tuesday,Jan,4,Male,Single,30.0,Third Party,Sedan,20000 to 29000,0,2,400,4,more than 30,more than 30,none,6 years,31 to 35,No,No,External,1 to 2,no change,1 vehicle,1994,Collision
34,Jan,4,Tuesday,Ford,Urban,Wednesday,Jan,4,Male,Married,42.0,Policy Holder,Utility,more than 69000,0,12,400,1,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1994,All Perils
35,Oct,2,Wednesday,Chevrolet,Urban,Thursday,Oct,2,Male,Single,34.0,Third Party,Sport,20000 to 29000,0,5,400,3,more than 30,more than 30,2 to 4,7 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1994,Liability
