PolicyNumber,DayOfWeek,WeekOfMonth,Month,Year,DayOfWeekClaimed,MonthClaimed,WeekOfMonthClaimed,AccidentArea,NumberOfCars,Fault,PoliceReportFiled,WitnessPresent,Sex,Age,AgeOfPolicyHolder,MaritalStatus,DriverRating,Make,VehicleCategory,VehiclePrice,AgeOfVehicle,BasePolicy,PolicyType,RepNumber,AgentType,Deductible,Days_Policy_Accident,Days_Policy_Claim,NumberOfSuppliments,AddressChange_Claim,PastNumberOfClaims,FraudFound_P
1,Wednesday,5,Dec,1994,Tuesday,Jan,1,Urban,3 to 4,Policy Holder,No,No,Female,21,26 to 30,Single,1,Honda,Sport,more than 69000,3 years,Liability,Sport - Liability,12,External,300,more than 30,more than 30,none,1 year,none,0
2,Wednesday,3,Jan,1994,Monday,Jan,4,Urban,1 vehicle,Policy Holder,Yes,No,Male,34,31 to 35,Single,4,Honda,Sport,more than 69000,6 years,Collision,Sport - Collision,15,External,400,more than 30,more than 30,none,no change,none,0
3,Friday,5,Oct,1994,Thursday,Nov,2,Urban,1 vehicle,Policy Holder,No,No,Male,47,41 to 50,Married,3,Honda,Sport,more than 69000,7 years,Collision,Sport - Collision,7,External,400,more than 30,more than 30,none,no change,1,0
4,Saturday,2,Jun,1994,Friday,Jul,1,Rural,1 vehicle,Third Party,Yes,No,Male,65,51 to 65,Married,2,Toyota,Sport,20000 to 29000,more than 7,Liability,Sedan - Liability,4,External,400,more than 30,more than 30,more than 5,no change,1,0
5,Monday,5,Jan,1994,Tuesday,Feb,2,Urban,1 vehicle,Third Party,No,No,Female,27,31 to 35,Single,1,Honda,Sport,more than 69000,5 years,Collision,Sport - Collision,3,External,400,more than 30,more than 30,none,no change,none,0
6,Friday,4,Oct,1994,Wednesday,Nov,1,Urban,1 vehicle,Third Party,No,No,Male,20,21 to 25,Single,3,Honda,Sport,more than 69000,5 years,Collision,Sport - Collision,12,External,400,more than 30,more than 30,3 to 5,no change,none,0
7,Saturday,1,Feb,1994,Monday,Feb,3,Urban,1 vehicle,Third Party,No,No,Male,36,36 to 40,Married,1,Honda,Sport,more than 69000,7 years,Collision,Sport - Collision,14,External,400,more than 30,more than 30,1 to 2,no change,1,0
8,Friday,1,Nov,1994,Tuesday,Mar,4,Urban,1 vehicle,Policy Holder,No,No,Male,0,16 to 17,Single,4,Honda,Sport,more than 69000,new,Collision,Sport - Collision,1,External,400,more than 30,more than 30,none,no change,1,0
9,Saturday,4,Dec,1994,Wednesday,Dec,5,Urban,1 vehicle,Policy Holder,No,Yes,Male,30,31 to 35,Single,4,Honda,Sport,more than 69000,6 years,Collision,Sport - Collision,7,External,400,more than 30,more than 30,3 to 5,no change,none,0
10,Tuesday,3,Apr,1994,Wednesday,Apr,3,Urban,1 vehicle,Policy Holder,No,No,Male,42,36 to 40,Married,1,Ford,Utility,more than 69000,more than 7,All Perils,Utility - All Perils,7,External,400,more than 30,more than 30,3 to 5,no change,2 to 4,0
